objID run rerun camcol field rowc colc petroRad_r rowc_g rowc_i colc_g colc_i class imageName
1237649918968267558 1035 301 2 101 1092.234 1208.74 2.798167 1103.361 1095.682 1212.792 1208.743 GALAXY 1035_301_2_101
1237649918968332324 1035 301 2 102 722.7107 841.4577 1.31278 733.8441 725.9007 845.6661 841.5901 STAR 1035_301_2_102
1237649918968397861 1035 301 2 103 719.4037 465.2049 1.581603 731.1411 721.8808 469.0302 465.0431 STAR 1035_301_2_103
1237649918968463656 1035 301 2 104 134.4132 638.599 2.700308 145.0758 137.472 642.7397 638.8384 GALAXY 1035_301_2_104
1237649918968528900 1035 301 2 105 278.4019 248.5992 1.226539 289.5613 281.5461 252.3245 248.6829 STAR 1035_301_2_105
1237649918968594550 1035 301 2 106 160.7595 1685.294 4.622056 172.2358 163.8158 1689.35 1685.853 GALAXY 1035_301_2_106
1237649918968659975 1035 301 2 107 148.8883 398.1143 1.247285 160.1964 151.7672 401.7115 398.1077 STAR 1035_301_2_107
1237649918968725612 1035 301 2 108 364.8216 1073.106 1.350541 376.3951 368.0215 1076.918 1073.109 STAR 1035_301_2_108
1237649918968791164 1035 301 2 109 804.8214 286.5397 4.678769 815.8584 807.5994 290.1673 286.387 GALAXY 1035_301_2_109
1237649918968856582 1035 301 2 110 236.138 534.8636 1.310751 247.7744 239.1646 538.9202 534.8214 STAR 1035_301_2_110
1237649918968922393 1035 301 2 111 219.7532 136.5616 1.091865 231.3406 222.8268 140.2812 136.1657 STAR 1035_301_2_111
1237649918968987720 1035 301 2 112 1036.088 1231.491 1.2729 1047.754 1039.534 1235.673 1231.721 STAR 1035_301_2_112
1237649918969053201 1035 301 2 113 484.8304 1643.845 8.004976 496.4449 488.3347 1648.066 1644.145 GALAXY 1035_301_2_113
1237649918969118853 1035 301 2 114 549.9293 1141.742 14.31844 561.2134 553.3288 1145.985 1141.917 GALAXY 1035_301_2_114
1237649918969184733 1035 301 2 115 1344.953 1919.217 1.3428 1356.296 1348.254 1923.673 1920.0 STAR 1035_301_2_115
1237649918969249899 1035 301 2 116 519.9292 1721.31 1.450307 531.4773 523.3326 1725.704 1721.963 STAR 1035_301_2_116
1237649918969315392 1035 301 2 117 1348.222 982.3815 1.71118 1359.166 1351.561 985.0668 982.1407 STAR 1035_301_2_117
